District,OperatingExpenditures,County Name,Teachers Attendance Rate 2016-17,Average Teacher Salary,Average Years of Teacher Experience,Lead/Senior Professional Teachers,Average Number of Full Time Teachers,Teacher FTE Who Have At Least a Bachelors,% of Teachers Who Have At Least a Bachelors,Teacher FTE Who Have At Least a Masters,% of Teachers Who Have At Least a Masters,Total # of Core Courses,# of Core Courses Taught by a Properly Certified Teacher,% of Core Courses Taught by a Properly Certified Teacher,# of Core Courses Taught by a Highly Qualified Teacher,% of Core Courses Taught  by a Highly Qualified Teacher,# of Core Courses Taught by Teacher with a Temporary Certificate,% Core Courses w/ Temp Qual Tchr,% of Principals with at least Bachelors,% Principals at least Masters,# of School Counselors,# of School Counselors per 1000 Stdnts,# of School Nurses,# of School Nurses /per 1000 Stdnts,School Psychologist FTE,School Psychologist per 1000 Stdnts,Interpreter FTE,# of Interpreters per 1000 Stdnts,Library / Media Specialist FTE,# of Lib/Media Specialists per 1000 Stdnts,Audiologist FTE,# of Audiologists  per 1000 Stdnts,Physical/Occupational Therapists FTE,# of Physical/Occupational Therapists per 1000 Studnets,# of Social Workers,# of Social Workers per 1000 Stdnts,# of General Education Teachers,General Education Teachers FTE per 1000 Stdnts,# of CTE Teachers,# of CTE Teachers / 1000 Stdnts,# of Special Education Teachers,# of Special Educuaction Teachers per 1000 Stdnts,# of Teacher Aides,# of Teacher Aides per 1000 Stdnts,# of Gifted Intervention Specialists,# of Gifted Teachers / 1000 Stdnts,# of Fine Arts Teachers,# of Fine Arts Teachers per 1000 Stdnts,# of Music Teachers,# of Music Teachers /per1000 Stdnts,# of Physical Education Teachers,# of Phys Ed Teachers per 1000 Stdnts,ESL Teachers,# of ESL Teachers per 1000 Stdnts,# of Adaptive Phys Ed Teachers,# of Adaptive PE Teachers per 1000 Stdnts,# of Speech Language Pathologists,# of Speech Language Pathologists per 1000 Stdnts,% of Teachers  Evaluated as  Ineffective,% of Teachers  Evaluated as  Developing,% of Teachers  Evaluated as Skilled,% of Teachers  Evaluated as  Accomplished,% of Teachers  Evaluations Not Completed,% of Principals Evalulated as  Ineffective,% of Principals Evalulated as Developing,% of Principals Evalulated as Skilled,% of Principals Evalulated as Accomplished,% of Principals Evalulations Not Completed
Mount Gilead Exempted Village,12351178.44,Morrow,95.7,49823.0,15.0,1.0,78.0,78.0,100.0,45.0,57.1,354.0,352.0,99.4,352.0,99.4,0.0,0.0,1.0,1.0,3.0,2.49261148,0.0,0.0,2.0,1.66174099,0.0,0.0,1.0,0.83087049,0.0,0.0,0.0,0.0,0.0,0.0,56.0,46.5287477,3.0,2.49261148,9.07,7.5359954,0.0,0.0,0.0,0.0,3.0,2.49261148,2.5,2.07717624,3.0,2.49261148,0.0,0.0,0.0,0.0,1.0,0.83087049,0.0,0.01315789,0.40789473,0.57894736,0.0,0.0,0.16666666,0.83333333,0.0,0.0
Newcomerstown Exempted Village,11971580.39,Tuscarawas,95.5,43516.0,11.0,0.0,82.0,82.0,100.0,22.0,26.8,343.0,343.0,100.0,343.0,100.0,0.0,0.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,59.0,59.0,1.0,1.0,16.0,16.0,0.0,0.0,0.0,0.0,3.0,3.0,3.0,3.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01219512,0.37804878,0.59756097,0.01219512,0.0,0.0,0.0,0.8,0.2
New Richmond Exempted Village,25417315.11,Clermont,96.2,61402.0,14.0,0.0,153.0,153.0,100.0,108.0,70.7,795.0,795.0,100.0,795.0,100.0,0.0,0.0,1.0,1.0,4.0,1.68662728,0.0,0.0,1.0,0.42165682,0.0,0.0,6.0,2.52994092,0.0,0.0,0.0,0.0,0.0,0.0,113.41,47.8200999,0.0,0.0,26.43,11.1443897,0.0,0.0,0.4,0.16866272,5.0,2.1082841,7.0,2.95159774,7.0,2.95159774,0.0,0.0,0.0,0.0,1.0,0.42165682,0.00662251,0.10596026,0.50993377,0.33112582,0.04635761,0.0,0.5,0.16666666,0.33333333,0.0
Newton Falls Exempted Village,10743849.85,Trumbull,93.3,48277.0,20.0,2.0,76.0,76.0,100.0,43.0,55.9,301.0,299.0,99.3,299.0,99.3,0.0,0.0,1.0,1.0,3.0,2.77827474,0.98,0.90756974,0.0,0.0,0.0,0.0,1.99,1.84292224,0.0,0.0,0.0,0.0,0.0,0.0,58.37,54.0559655,0.99,0.91683066,12.42,11.5020574,0.0,0.0,1.0,0.92609158,1.99,1.84292224,1.97,1.82440041,1.98,1.83366133,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23529411,0.76470588,0.0,0.0,0.0,0.75,0.25,0.0
Paulding Exempted Village,15799933.420000002,Paulding,94.4,51430.0,15.0,2.0,108.0,108.0,100.0,75.0,69.1,577.0,577.0,100.0,575.0,99.7,0.0,0.0,1.0,1.0,4.0,2.82743499,1.0,0.70685874,1.0,0.70685874,0.0,0.0,1.0,0.70685874,0.0,0.0,0.0,0.0,0.0,0.0,67.75,47.8896801,0.0,0.0,31.75,22.4427652,18.7,13.2182585,0.6,0.42411524,4.2,2.96880674,4.0,2.82743499,4.87,3.4424021,0.0,0.0,0.0,0.0,2.0,1.41371749,0.0,0.0,0.24299065,0.74766355,0.00934579,0.0,0.0,0.0,1.0,0.0
Perrysburg Exempted Village,51289758.58,Wood,94.6,63643.0,11.0,5.0,290.0,290.0,100.0,191.0,66.0,1364.0,1364.0,100.0,1364.0,100.0,0.0,0.0,1.0,1.0,11.0,2.26176389,5.0,1.02807449,4.5,0.92526705,0.0,0.0,4.0,0.8224596,0.0,0.0,2.8,0.57572172,0.0,0.0,224.88,46.2386786,1.0,0.2056149,37.05,7.61803204,0.0,0.0,4.6,0.94582854,11.0,2.26176389,17.0,3.49545329,11.1,2.28232538,0.0,0.0,0.0,0.0,7.0,1.43930429,0.0,0.00655737,0.40327868,0.58688524,0.00327868,0.0,0.0,0.1,0.9,0.0
Rittman Exempted Village,9909259.74,Wayne,95.9,46630.0,13.0,0.0,67.0,67.0,100.0,41.0,60.2,312.0,312.0,100.0,312.0,100.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.5,1.5,0.0,0.0,0.0,0.0,0.0,0.0,46.18,46.18,0.99,0.99,15.87,15.87,8.27,8.27,0.0,0.0,2.0,2.0,3.0,3.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.48051948,0.5064935,0.01298701,0.0,0.0,0.0,1.0,0.0
Rossford Exempted Village,21216095.85,Wood,94.2,74564.0,16.0,0.0,102.0,102.0,100.0,74.0,73.0,633.0,631.0,99.7,631.0,99.7,0.0,0.0,1.0,1.0,5.0,3.38507104,4.0,2.70805683,1.0,0.6770142,0.0,0.0,4.0,2.70805683,0.0,0.0,0.0,0.0,0.0,0.0,77.0,52.130094,0.0,0.0,15.87,10.7442154,0.0,0.0,0.8,0.54161136,5.0,3.38507104,4.0,2.70805683,5.0,3.38507104,0.0,0.0,0.0,0.0,2.0,1.35402841,0.0,0.0,0.23636363,0.76363636,0.0,0.0,0.0,0.0,1.0,0.0
Tipp City Exempted Village,22644741.06,Miami,96.4,57815.0,14.0,5.0,155.0,155.0,100.0,97.0,62.1,915.0,910.0,99.5,910.0,99.5,0.0,0.0,1.0,1.0,7.5,3.08074026,1.0,0.41076536,2.0,0.82153073,0.0,0.0,5.0,2.05382684,0.0,0.0,0.0,0.0,0.8,0.32861229,115.35,47.3817852,3.0,1.2322961,21.97,9.02451514,9.7,3.98442407,1.25,0.51345671,6.0,2.46459221,5.14,2.11133399,7.0,2.87535757,0.91,0.37379648,0.0,0.0,1.0,0.41076536,0.0,0.0,0.08609271,0.90728476,0.00662251,0.0,0.0,0.14285714,0.85714285,0.0
Upper Sandusky Exempted Village,16674926.15,Wyandot,95.4,56292.0,18.0,2.0,96.0,96.0,100.0,74.0,76.4,843.0,829.0,98.3,829.0,98.3,0.0,0.0,1.0,1.0,3.0,1.92680747,0.0,0.0,1.0,0.64226915,0.0,0.0,1.0,0.64226915,0.0,0.0,0.0,0.0,0.0,0.0,70.66,45.3827387,1.0,0.64226915,13.75,8.83120092,17.45,11.2075968,0.0,0.0,9.0,5.78042242,6.0,3.85361494,5.8,3.72516111,0.0,0.0,0.0,0.0,1.0,0.64226915,0.0,0.01010101,0.4040404,0.58585858,0.0,0.0,0.0,0.5,0.5,0.0
Versailles Exempted Village,12811160.399999999,Darke,94.4,63664.0,16.0,0.0,77.0,77.0,100.0,56.0,71.7,424.0,421.0,99.3,421.0,99.3,0.0,0.0,1.0,1.0,2.0,1.46320075,1.0,0.73160037,0.0,0.0,0.0,0.0,1.0,0.73160037,0.0,0.0,0.0,0.0,0.0,0.0,57.95,42.3962417,3.0,2.19480112,10.25,7.49890385,17.25,12.6201064,0.6,0.43896022,2.0,1.46320075,2.66,1.946057,3.0,2.19480112,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11111111,0.88888888,0.0,0.0,0.0,0.33333333,0.66666666,0.0
Wauseon Exempted Village,17763614.29,Fulton,95.5,58297.0,17.0,1.0,114.0,114.0,100.0,80.0,70.2,651.0,650.0,99.8,650.0,99.8,0.0,0.0,1.0,1.0,5.0,2.79008362,1.0,0.55801672,1.0,0.55801672,0.0,0.0,4.0,2.2320669,0.0,0.0,0.0,0.0,0.0,0.0,78.59,43.8545344,2.8,1.56244683,20.33,11.34448,14.88,8.30328888,1.0,0.55801672,5.0,2.79008362,5.0,2.79008362,4.97,2.77334312,0.0,0.0,0.0,0.0,1.0,0.55801672,0.0,0.0,0.56637168,0.4159292,0.01769911,0.0,0.0,0.8,0.2,0.0
Wellington Exempted Village,11802332.559999999,Lorain,94.6,54079.0,14.0,0.0,61.0,60.0,98.4,31.0,51.1,363.0,363.0,100.0,363.0,100.0,0.0,0.0,1.0,1.0,2.3,2.26243973,1.0,0.98366944,0.0,0.0,0.0,0.0,2.53,2.4886837,0.0,0.0,1.2,1.18040333,0.0,0.0,47.51,46.7341355,1.11,1.09187308,6.27,6.16760744,0.0,0.0,0.0,0.0,3.5,3.44284307,3.0,2.95100834,3.0,2.95100834,0.0,0.0,0.0,0.0,1.0,0.98366944,0.0,0.03030303,0.24242424,0.72727272,0.0,0.0,0.25,0.75,0.0,0.0
Windham Exempted Village,8341963.2700000005,Portage,94.6,49641.0,14.0,0.0,52.0,52.0,100.0,31.0,60.2,157.0,156.0,99.4,155.0,98.7,0.0,0.0,1.0,0.6,2.0,2.0,2.0,2.0,0.5,0.5,0.0,0.0,1.0,1.0,0.0,0.0,2.0,2.0,0.0,0.0,34.8,34.8,0.0,0.0,16.02,16.02,0.0,0.0,0.0,0.0,3.0,3.0,1.0,1.0,3.0,3.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.20930232,0.79069767,0.0,0.0,0.0,1.0,0.0,0.0
Yellow Springs Exempted Village,8190648.710000001,Greene,95.1,62912.0,19.0,0.0,48.0,47.0,97.9,36.0,76.2,241.0,241.0,100.0,241.0,100.0,0.0,0.0,1.0,1.0,1.14,1.14,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,36.39,36.39,0.0,0.0,7.78,7.78,0.0,0.0,0.0,0.0,3.0,3.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26086956,0.7173913,0.02173913,0.0,0.0,0.0,1.0,0.0
Allen East Local,9679050.23,Allen,94.6,55298.0,14.0,0.0,59.0,59.0,100.0,39.0,65.4,322.0,314.0,97.5,314.0,97.5,0.0,0.0,1.0,1.0,1.0,0.91487276,1.0,0.91487276,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.91487276,52.0,47.5733835,0.0,0.0,6.83,6.24858095,0.0,0.0,0.0,0.0,2.0,1.82974552,3.0,2.74461828,7.0,6.40410932,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0338983,0.61016949,0.3559322,0.0,0.0,0.0,1.0,0.0,0.0
Bath Local,15644494.059999999,Allen,95.5,55762.0,15.0,0.0,96.0,96.0,100.0,67.0,69.5,469.0,455.0,97.0,455.0,99.7,0.0,0.0,1.0,1.0,4.0,2.31805081,1.86,1.07789362,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78.57,45.532313,0.0,0.0,10.34,5.99216134,2.33,1.35026459,0.0,0.0,3.0,1.7385381,4.0,2.31805081,4.52,2.61939741,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01030927,0.29896907,0.69072164,0.0,0.0,0.0,0.0,1.0,0.0
Elida Local,20892191.23,Allen,94.7,55967.0,13.0,0.0,133.0,133.0,100.0,79.0,59.3,571.0,571.0,100.0,569.0,99.6,0.0,0.0,1.0,1.0,2.5,1.07662074,2.0,0.86129659,0.0,0.0,0.0,0.0,0.82,0.3531316,0.0,0.0,0.0,0.0,2.5,1.07662074,105.8,45.5625897,0.0,0.0,15.09,6.49848279,9.0,3.87583467,0.0,0.0,5.0,2.15324148,6.0,2.58388978,6.0,2.58388978,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02238806,0.3283582,0.64179104,0.00746268,0.0,0.0,0.0,0.83333333,0.16666666
Perry Local,8460114.76,Allen,93.9,53382.0,14.0,0.0,48.0,48.0,100.0,26.0,54.7,237.0,237.0,100.0,237.0,100.0,0.0,0.0,1.0,1.0,2.1,2.1,1.0,1.0,0.0,0.0,0.0,0.0,2.03,2.03,0.0,0.0,0.0,0.0,0.0,0.0,33.98,33.98,0.0,0.0,8.92,8.92,5.0,5.0,0.2,0.2,19.0,19.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.85416666,0.125,0.02083333,0.0,0.0,0.5,0.5,0.0
Perry Local,8460114.76,Lake,92.5,71435.0,13.0,0.0,105.0,105.0,100.0,75.0,71.4,485.0,479.0,98.8,479.0,98.8,0.0,0.0,1.0,1.0,3.0,1.7431331,2.0,1.16208873,1.0,0.58104436,0.0,0.0,2.85,1.65597644,0.0,0.0,0.0,0.0,1.0,0.58104436,83.31,48.4068062,0.0,0.0,17.7,10.2844853,0.0,0.0,0.0,0.0,4.0,2.32417746,4.0,2.32417746,3.0,1.7431331,0.0,0.0,0.0,0.0,2.0,1.16208873,0.0,0.00833333,0.3,0.69166666,0.0,0.0,0.0,0.66666666,0.33333333,0.0
Perry Local,8460114.76,Stark,95.8,61788.0,14.0,0.0,277.0,271.0,97.8,175.0,63.0,1457.0,1453.0,99.7,1452.0,99.7,0.0,0.0,1.0,1.0,14.94,3.16204975,5.0,1.05824958,5.0,1.05824958,1.0,0.21164991,7.65,1.61912186,0.0,0.0,0.0,0.0,0.0,0.0,192.87,40.8209194,17.0,3.59804858,37.2,7.87337691,3.56,0.7534737,3.81,0.80638618,8.16,1.72706332,9.5,2.01067421,11.5,2.43397404,0.0,0.0,0.0,0.0,5.0,1.05824958,0.0,0.04745762,0.64067796,0.30508474,0.00677966,0.0,0.0,0.92307692,0.07692307,0.0
Shawnee Local,24377065.79,Allen,94.5,57638.0,12.0,0.0,133.0,132.0,99.2,81.0,60.7,708.0,706.0,99.7,706.0,99.7,0.0,0.0,1.0,1.0,10.0,4.1725024,1.96,0.81781047,0.0,0.0,0.0,0.0,3.0,1.25175072,0.0,0.0,0.0,0.0,0.0,0.0,105.8,44.1450754,0.0,0.0,11.85,4.94441535,1.0,0.41725024,1.6,0.66760038,6.0,2.50350144,5.0,2.0862512,7.5,3.1293768,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00709219,0.11347517,0.85815602,0.02127659,0.0,0.0,0.0,1.0,0.0
Spencerville Local,9457309.96,Allen,95.1,52066.0,10.0,1.0,58.0,58.0,100.0,32.0,55.0,288.0,278.0,96.5,278.0,96.5,0.0,0.0,1.0,1.0,3.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,1.54,1.54,0.0,0.0,0.0,0.0,0.0,0.0,48.24,48.24,2.0,2.0,5.34,5.34,0.75,0.75,0.0,0.0,2.0,2.0,2.5,2.5,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14035087,0.85964912,0.0,0.0,0.0,0.0,1.0,0.0
Hillsdale Local,9678060.52,Ashland,95.9,58222.0,19.0,0.0,49.0,49.0,100.0,35.0,72.1,232.0,229.0,98.7,229.0,98.7,0.0,0.0,1.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,40.76,40.76,3.53,3.53,0.0,0.0,0.0,0.0,0.5,0.5,1.38,1.38,3.0,3.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.28,0.7,0.02,0.0,0.0,0.33333333,0.66666666,0.0
Mapleton Local,8196294.01,Ashland,95.0,49308.0,10.0,0.0,52.0,52.0,100.0,34.0,65.6,302.0,297.0,98.3,297.0,98.3,0.0,0.0,1.0,1.0,2.09,2.09,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.34,40.34,1.0,1.0,6.0,6.0,7.77,7.77,0.0,0.0,3.0,3.0,1.67,1.67,1.5,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01851851,0.24074074,0.66666666,0.07407407,0.0,0.0,0.33333333,0.66666666,0.0
Buckeye Local,16523238.2,Ashtabula,94.6,60075.0,16.0,0.0,100.0,100.0,100.0,71.0,71.3,462.0,462.0,100.0,462.0,100.0,0.0,0.0,1.0,1.0,3.0,1.75327488,2.0,1.16884992,0.0,0.0,0.0,0.0,2.77,1.61885714,0.0,0.0,0.0,0.0,0.0,0.0,76.13,44.4922724,1.0,0.58442496,12.66,7.39882002,0.0,0.0,1.0,0.58442496,3.0,1.75327488,4.0,2.33769985,3.0,1.75327488,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11340206,0.86597938,0.02061855,0.0,0.0,0.0,1.0,0.0
Buckeye Local,16523238.2,Jefferson,93.9,38365.0,12.0,2.0,165.0,164.0,99.4,91.0,55.1,667.0,656.0,98.4,656.0,98.4,0.0,0.0,1.0,1.0,2.0,1.13501044,1.0,0.56750522,1.0,0.56750522,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,102.94,58.4189873,7.0,3.97253653,29.0,16.4576513,2.5,1.41876304,2.0,1.13501044,3.0,1.70251565,6.0,3.40503131,8.0,4.54004175,0.0,0.0,0.0,0.0,2.0,1.13501044,0.0,0.36111111,0.58333333,0.03472222,0.02083333,0.0,0.33333333,0.66666666,0.0,0.0
Buckeye Local,16523238.2,Medina,95.5,62425.0,13.0,1.0,122.0,117.0,95.9,74.0,60.7,507.0,507.0,100.0,507.0,100.0,0.0,0.0,1.0,0.75,5.24,2.36852132,0.0,0.0,2.24,1.01249766,1.5,0.67801183,1.63,0.73677285,0.0,0.0,0.0,0.0,0.0,0.0,91.88,41.5304846,1.64,0.74129293,17.83,8.05930061,0.81,0.36612638,0.17,0.07684134,6.0,2.71204731,4.68,2.1153969,6.25,2.82504929,0.0,0.0,0.0,0.0,2.33,1.05317837,0.0,0.0,0.296,0.688,0.016,0.0,0.0,0.8,0.2,0.0
Grand Valley Local,12062597.68,Ashtabula,97.1,53986.0,15.0,0.0,75.0,75.0,100.0,44.0,58.2,368.0,368.0,100.0,368.0,100.0,0.0,0.0,1.0,1.0,2.0,1.79735494,1.0,0.89867747,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.96,49.3913138,3.0,2.69603241,8.57,7.70166593,2.0,1.79735494,2.0,1.79735494,3.0,2.69603241,3.0,2.69603241,3.0,2.69603241,0.0,0.0,0.0,0.0,0.0,0.0,0.01298701,0.0,0.09090909,0.89610389,0.0,0.0,0.0,0.0,1.0,0.0
Jefferson Area Local,13882130.91,Ashtabula,95.4,51091.0,12.0,0.0,92.0,92.0,100.0,59.0,64.3,458.0,458.0,100.0,458.0,100.0,0.0,0.0,1.0,0.75,1.0,0.58979484,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.58979484,0.0,0.0,0.0,0.0,0.0,0.0,70.35,41.492067,0.0,0.0,15.76,9.29516667,6.0,3.53876904,1.0,0.58979484,3.0,1.76938452,4.0,2.35917936,5.0,2.9489742,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01030927,0.26804123,0.70103092,0.02061855,0.0,0.0,0.25,0.75,0.0
Pymatuning Valley Local,13354545.27,Ashtabula,94.9,53597.0,14.0,0.0,71.0,68.0,95.8,30.0,41.4,363.0,363.0,100.0,363.0,100.0,0.0,0.0,1.0,0.67,2.0,1.67497621,0.0,0.0,0.0,0.0,0.0,0.0,1.88,1.57447764,0.0,0.0,0.0,0.0,0.0,0.0,53.03,44.4119943,2.0,1.67497621,6.27,5.25105043,0.0,0.0,1.0,0.8374881,3.0,2.51246432,1.0,0.8374881,3.0,2.51246432,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13333333,0.85333333,0.01333333,0.0,0.0,0.0,1.0,0.0
Alexander Local,15946950.690000001,Athens,94.3,56950.0,14.0,0.0,105.0,105.0,100.0,75.0,71.4,519.0,519.0,100.0,519.0,100.0,0.0,0.0,1.0,1.0,3.0,2.01013725,2.0,1.3400915,1.0,0.67004575,0.0,0.0,3.0,2.01013725,0.0,0.0,0.0,0.0,0.0,0.0,70.17,47.0171103,3.0,2.01013725,19.25,12.8983807,0.0,0.0,1.49,0.99836816,2.0,1.3400915,4.0,2.680183,4.0,2.680183,0.0,0.0,0.0,0.0,1.0,0.67004575,0.0,0.0,0.10679611,0.89320388,0.0,0.0,0.0,0.0,1.0,0.0
Federal Hocking Local,12677841.17,Athens,95.5,50924.0,13.0,1.0,73.0,62.0,85.0,36.0,49.5,253.0,247.0,97.6,247.0,97.6,0.0,0.0,1.0,1.0,3.0,3.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.0,52.0,3.0,3.0,11.25,11.25,2.5,2.5,0.0,0.0,4.0,4.0,3.0,3.0,3.0,3.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.01298701,0.23376623,0.61038961,0.14285714,0.0,0.0,0.33333333,0.66666666,0.0
Trimble Local,11351502.46,Athens,92.5,51214.0,15.0,0.0,65.0,61.0,93.9,40.0,61.7,389.0,382.0,98.2,382.0,98.2,0.0,0.0,1.0,1.0,2.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.81,0.81,0.0,0.0,0.0,0.0,0.0,0.0,43.75,43.75,0.0,0.0,17.0,17.0,6.36,6.36,1.0,1.0,1.5,1.5,1.0,1.0,3.0,3.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.05357142,0.53571428,0.39285714,0.01785714,0.0,0.0,0.5,0.5,0.0
Minster Local,8199506.6899999995,Auglaize,94.8,59578.0,20.0,0.0,56.0,56.0,100.0,46.0,82.5,264.0,264.0,100.0,264.0,100.0,0.0,0.0,1.0,1.0,2.12,2.12,1.0,1.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,45.17,45.17,0.01,0.01,6.58,6.58,0.7,0.7,1.0,1.0,1.81,1.81,2.8,2.8,2.13,2.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.44827586,0.53448275,0.01724137,0.0,0.0,1.0,0.0,0.0
New Bremen Local,8337537.99,Auglaize,94.5,57035.0,17.0,1.0,56.0,56.0,100.0,42.0,76.2,283.0,279.0,98.6,279.0,98.6,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,41.19,41.19,1.73,1.73,7.87,7.87,0.0,0.0,0.0,0.0,2.01,2.01,2.78,2.78,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03333333,0.9,0.06666666,0.0,0.0,0.0,1.0,0.0
New Knoxville Local,4490945.51,Auglaize,97.1,55214.0,15.0,0.0,31.0,31.0,100.0,22.0,68.8,186.0,178.0,95.7,178.0,95.7,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,26.02,26.02,0.0,0.0,3.38,3.38,4.0,4.0,0.0,0.0,2.0,2.0,2.0,2.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25806451,0.74193548,0.0,0.0,0.0,0.0,1.0,0.0
Waynesfield-Goshen Local,6325682.8100000005,Auglaize,93.1,46575.0,15.0,0.0,43.0,42.0,97.7,26.0,59.4,216.0,210.0,97.2,210.0,97.2,0.0,0.0,1.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,24.2,24.2,2.0,2.0,9.79,9.79,6.5,6.5,0.0,0.0,1.0,1.0,2.0,2.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.25,0.0,0.0,0.0,0.5,0.5,0.0
St Clairsville-Richland City,15229477.399999999,Belmont,93.5,54023.0,16.0,12.0,99.0,99.0,100.0,66.0,67.0,499.0,499.0,100.0,466.0,93.4,0.0,0.0,1.0,1.0,5.0,3.00512074,1.0,0.60102415,1.0,0.60102415,0.64,0.38465545,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.96,43.2496978,1.0,0.60102415,16.0,9.61638639,13.0,7.81331394,0.63,0.37864521,5.0,3.00512074,4.0,2.40409659,6.0,3.60614489,0.0,0.0,0.0,0.0,2.0,1.20204829,0.0,0.0,0.16842105,0.83157894,0.0,0.0,0.0,0.0,1.0,0.0
Shadyside Local,6550784.37,Belmont,95.1,47131.0,15.0,0.0,47.0,47.0,100.0,25.0,52.4,293.0,293.0,100.0,293.0,100.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.95,38.95,0.0,0.0,5.25,5.25,4.0,4.0,1.0,1.0,13.0,13.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.25531914,0.74468085,0.0,0.0,0.0,0.0,1.0,0.0
Union Local,13926269.52,Belmont,93.8,53247.0,17.0,1.0,107.0,107.0,100.0,83.0,77.5,439.0,439.0,100.0,439.0,100.0,0.0,0.0,1.0,1.0,4.0,2.72349787,1.0,0.68087446,4.0,2.72349787,0.0,0.0,2.0,1.36174893,0.0,0.0,0.0,0.0,0.0,0.0,81.0,55.150832,5.0,3.40437234,17.0,11.5748659,13.0,8.8513681,0.0,0.0,3.0,2.0426234,3.0,2.0426234,5.0,3.40437234,0.0,0.0,0.0,0.0,7.0,4.76612128,0.0,0.0,0.11224489,0.86734693,0.02040816,0.0,0.0,0.66666666,0.33333333,0.0
