District,OperatingExpenditures,County,Address,Superintendent,Prepared for Success Component Grade,Prepared for Success Percent,Number of Students Earning 1 Point,Number of Students Earning Bonus (0.3) Point,Honors Diploma Percent,Percent ACT/SAT Remediation Free,Percent Earning Industry Recognized Credentials,Percent Scoring 3+ on AP Test,Percent Scoring 4+ on IB Test,Percent Earning 3+ Dual Enrollment Credits
Southern Local,9427379.469999999,Meigs,"Racine, OH, 45771-8902",Anthony W. Deem,F,24.6,26,5,17.0,16.1,0.9,0.9,0.0,4.5
Southern Local,9427379.469999999,Perry,"Corning, OH, 43730-9710",Ralph G. Holbert,F,18.6,14,8,5.7,12.5,3.4,0.0,0.0,20.5
Logan Elm Local,18619127.57,Pickaway,"Circleville, OH, 43113-9448",Timothy L. Williams,D,36.8,116,30,10.0,24.1,10.9,3.5,0.0,8.8
Teays Valley Local,36621254.730000004,Pickaway,"Ashville, OH, 43103-9638",Robin N. Halley,D,39.7,206,82,24.4,26.7,3.1,5.0,0.0,16.5
Westfall Local,15736435.65,Pickaway,"Williamsport, OH, 43164-9745",Lynn P. Landis,D,34.2,75,20,16.9,16.9,7.6,8.9,0.0,2.1
Eastern Local School District,10918949.72,,,,,,,,,,,,,
Scioto Valley Local,15478674.69,Pike,"Piketon, OH, 45661-0600",Todd A. Burkitt,D,30.7,63,0,22.4,11.7,6.3,0.0,0.0,0.0
Waverly City,18004935.43,Pike,"Waverly, OH, 45690-8704",John E. Dickens,D,27.9,77,10,9.4,18.8,6.3,3.5,0.0,0.0
Western Local,10162028.43,Pike,"Latham, OH, 45646-0130",Brock D. Brewster,F,24.5,26,9,8.5,9.4,9.4,0.0,0.0,9.4
Aurora City,34148935.38,Portage,"Aurora, OH, 44202-8854",Pat R. Ciccantelli,B,81.0,328,271,40.8,62.2,1.4,60.8,0.0,2.0
Crestwood Local,19843703.85,Portage,"Mantua, OH, 44255-9454",David M. Toth,D,30.6,98,32,13.4,23.6,2.3,8.5,0.0,2.3
Field Local,18126088.47,Portage,"Mogadore, OH, 44260-9715",David O. Heflinger,D,39.7,116,59,20.8,26.1,3.0,5.0,0.0,20.2
James A Garfield Local,14045202.739999998,Portage,"Garrettsville, OH, 44231-9205",Ted A. Lysiak,D,42.1,84,51,15.7,27.1,5.5,8.1,0.0,25.8
Rootstown Local,11545359.19,Portage,"Rootstown, OH, 44272-9697",Andrew A. Hawkins,D,41.5,71,25,14.3,32.3,4.2,10.6,0.0,7.4
Southeast Local,18947709.68,Portage,"Ravenna, OH, 44266-8547",Robert C. Dunn,D,25.9,67,45,6.4,18.0,3.5,6.1,0.0,15.1
Southeast Local,18947709.68,Wayne,"Apple Creek, OH, 44606-9408",James J. Ritchie,C,46.3,71,52,20.9,30.5,4.8,11.8,0.0,39.6
Streetsboro City,22629898.16,Portage,"Streetsboro, OH, 44241-1725",Richard M. Daulbaugh,D,29.1,89,19,13.8,21.8,2.8,5.5,0.0,2.8
Waterloo Local,10336352.18,Portage,"Atwater, OH, 44201-9349",Shawn M. Braman,D,32.4,62,17,10.1,24.2,4.8,0.0,0.0,9.7
National Trail Local,11256783.51,Preble,"New Paris, OH, 45347-9065",Jeff J. Parker,D,37.4,39,32,16.9,17.7,7.7,0.0,0.0,50.8
Preble Shawnee Local,14558173.469999999,Preble,"Camden, OH, 45311-1154",Matt M. Bishop,D,25.1,47,10,14.6,17.6,3.5,0.0,0.0,8.0
Twin Valley Community Local,8637349.35,Preble,"West Alexandria, OH, 45381-1184",Robert O. Fischer,D,32.7,44,19,12.5,21.1,5.9,0.0,0.0,20.4
Columbus Grove Local,8464713.46,Putnam,"Columbus Grove, OH, 45830-1237",George N. Verhoff,C,53.5,72,42,23.4,37.3,7.0,24.7,0.0,25.9
Continental Local,5665191.43,Putnam,"Continental, OH, 45831-9155",Danny F. Kissell,D,43.3,30,14,15.2,25.3,15.2,2.5,0.0,27.8
Jennings Local,3754834.3000000003,Putnam,"Fort Jennings, OH, 45844-0098",Nicholas T. Langhals,C,58.5,30,17,20.0,50.0,0.0,0.0,0.0,45.0
Kalida Local,5949715.84,Putnam,"Kalida, OH, 45853-0269",Karl D. Lammers,B,80.3,69,59,25.0,59.3,3.7,41.7,0.0,71.3
Leipsic Local,6277615.3100000005,Putnam,"Leipsic, OH, 45856-1312",Greg A. Williamson,D,41.6,33,30,23.8,22.8,5.0,0.0,0.0,52.5
Miller City-New Cleveland Local,4684804.19,Putnam,"Miller City, OH, 45864-0038",Kerry D. Johnson,C,58.2,41,1,35.2,52.1,2.8,0.0,0.0,1.4
Ottawa-Glandorf Local,14524137.46,Putnam,"Ottawa, OH, 45875-1162",Donald T. Horstman,C,55.2,139,32,32.0,46.8,2.2,0.0,0.0,14.1
Ottoville Local,4992721.4399999995,Putnam,"Ottoville, OH, 45876-0248",Scott J. Mangas,C,64.0,27,23,18.9,43.4,7.5,0.0,0.0,75.5
Pandora-Gilboa Local,6319051.1,Putnam,"Pandora, OH, 45877-0389",R. Todd T. Schmutz,D,38.4,34,3,22.0,29.7,2.2,3.3,0.0,0.0
Clear Fork Valley Local,16341586.399999999,Richland,"Bellville, OH, 44813-1232",Janice J. Wyckoff,D,41.0,100,49,22.1,25.0,5.4,2.9,0.0,23.6
Crestview Local,11166043.73,Columbiana,"Columbiana, OH, 44408-9660",Matthew T. Manley,C,47.6,72,39,20.5,30.1,8.5,17.6,0.0,10.2
Crestview Local,11166043.73,Richland,"Ashland, OH, 44805-9262",Larry R. Dunlap,D,35.7,56,11,10.2,26.5,6.6,0.0,0.0,12.0
Crestview Local,11166043.73,Van Wert,"Convoy, OH, 45832-8864",Michael Y. Estes,C,46.4,55,21,7.6,35.6,6.1,14.4,0.0,4.5
Lexington Local,22118581.52,Richland,"Lexington, OH, 44904-1209",James M. Ziegelhofer,C,56.6,196,65,22.8,48.0,2.9,12.3,0.0,8.1
Lucas Local,5444186.63,Richland,"Lucas, OH, 44843-9532",Bradley A. Herman,D,43.5,40,0,10.9,25.0,17.4,0.0,0.0,0.0
Madison Local,32372247.18,Butler,"Middletown, OH, 45042-1525",Charles C. Philpot,D,42.2,97,28,18.8,29.2,8.8,0.0,0.0,14.0
Madison Local,32372247.18,Lake,"Madison, OH, 44057-2122",Angela M. Smith,D,33.6,150,84,17.4,21.5,3.4,12.3,0.0,10.2
Madison Local,32372247.18,Richland,"Mansfield, OH, 44905-2742",Shelley L. Hilderbrand,D,37.7,154,39,10.9,15.9,18.5,0.7,0.0,12.3
Plymouth-Shiloh Local,8710224.27,Richland,"Plymouth, OH, 44865-1135",James E. Metcalf,D,30.2,33,18,11.0,16.5,5.5,0.0,0.0,25.2
Ontario Local,16120957.8,Richland,"Mansfield, OH, 44906-1029",Lisa A. Carmichael,C,49.8,117,65,22.3,33.9,6.9,11.7,0.0,27.4
Adena Local,10953341.77,Ross,"Frankfort, OH, 45628-9503",John W. Balzer,D,32.7,52,11,16.6,21.9,7.7,0.0,0.0,7.7
Huntington Local,13590918.379999999,Ross,"Chillicothe, OH, 45601-9378",Peter T. Ruby,D,30.8,58,7,14.4,8.2,12.8,0.0,0.0,4.1
Paint Valley Local,8838221.1,Ross,"Bainbridge, OH, 45612-9708",Timothy J. Winland,D,31.0,37,12,7.6,16.8,9.2,0.8,0.0,9.2
Southeastern Local,11010191.11,Clark,"South Charleston, OH, 45368-9602",David M. Shea,D,34.5,34,12,6.4,23.9,8.3,0.9,0.0,16.5
Southeastern Local,11010191.11,Ross,"Chillicothe, OH, 45601-8213",Brian Justice,D,41.5,75,6,24.3,16.8,12.4,2.7,0.0,0.5
Union-Scioto Local,19617895.98,Ross,"Chillicothe, OH, 45601-3974",Matthew G. Thornsberry,D,38.7,111,36,16.8,26.0,8.9,8.9,0.0,6.7
Zane Trace Local,13040091.100000001,Ross,"Chillicothe, OH, 45601-8141",Jerry L. Mowery,D,34.7,81,4,24.1,17.7,6.3,0.0,0.0,1.7
Lakota Local,11179520.65,Butler,"Liberty Township, OH, 45011-9726",Matthew J. Miller,C,58.8,1274,596,22.1,50.2,0.7,23.4,0.0,4.2
Lakota Local,11179520.65,Sandusky,"Kansas, OH, 44841-9617",Chad D. Coffman,D,36.1,49,10,14.6,19.4,11.1,0.0,0.0,12.5
Woodmore Local,10607454.84,Sandusky,"Elmore, OH, 43416-9404",Timothy S. Rettig,C,47.3,74,23,22.8,26.3,13.5,12.9,0.0,5.3
Bloom-Vernon Local,8981682.21,Scioto,"South Webster, OH, 45682-0237",Marc L. Kreischer,C,46.9,42,24,4.8,23.8,16.2,14.3,0.0,35.2
Clay Local,5903921.88,Scioto,"Portsmouth, OH, 45662-8817",William T. Warnock,D,27.6,24,2,11.2,15.7,6.7,3.4,0.0,1.1
Green Local,6375339.8,Scioto,"Franklin Furnace, OH, 45629-8889",Jodi B. Armstrong,D,30.4,21,13,19.5,19.5,1.2,0.0,0.0,23.2
Green Local,6375339.8,Summit,"Green, OH, 44232-0218",Jeffrey L. Miller II,C,64.5,331,227,30.7,47.3,3.2,26.5,0.0,30.4
Green Local,6375339.8,Wayne,"Smithville, OH, 44677-0438",Dean E. Frank,D,44.5,69,52,17.4,28.4,6.3,0.0,0.5,50.0
Minford Local,13105329.610000001,Scioto,"Minford, OH, 45653-0204",Jeremy A. Litteral,D,39.6,85,24,15.9,24.9,9.0,6.9,0.0,11.2
Northwest Local,17040976.9,Hamilton,"Cincinnati, OH, 45239-5207",Todd D. Bowling,D,36.8,450,239,18.6,20.8,6.4,16.3,0.0,6.6
Northwest Local,17040976.9,Scioto,"Mc Dermott, OH, 45652-9000",Anthony T. Jenkins,D,25.1,54,15,3.0,14.6,7.3,0.0,0.0,10.7
Northwest Local,17040976.9,Stark,"Canal Fulton, OH, 44614-9389",Michael R. Shreffler,D,40.9,109,50,10.6,31.7,4.3,20.1,0.0,0.0
Valley Local,10618275.559999999,Scioto,"Lucasville, OH, 45648-8510",Jeffrey S. Rolfe,D,39.6,49,36,18.5,27.8,4.0,0.0,0.0,29.1
Washington-Nile Local,15299788.38,Scioto,"West Portsmouth, OH, 45663-9093",Donald J. Stricklett,D,32.4,68,0,12.4,20.5,10.5,0.0,0.0,0.0
Wheelersburg Local,12827169.17,Scioto,"Wheelersburg, OH, 45694-0340",Mark W. Knapp,C,46.9,84,50,13.7,36.0,2.4,32.2,0.0,8.1
Seneca East Local,9216943.73,Seneca,"Attica, OH, 44807-9301",Laura A. Kagy,C,53.6,69,36,20.8,28.9,15.4,13.4,0.0,21.5
Hopewell-Loudon Local,7564595.34,Seneca,"Bascom, OH, 44809-0400",David R. Alvarado,C,60.6,67,27,16.9,23.4,29.0,1.6,0.0,36.3
New Riegel Local,4509813.75,Seneca,"New Riegel, OH, 44853-9776",David A. Rombach,B,81.9,35,28,20.8,52.8,17.0,0.0,0.0,62.3
Old Fort Local,6914622.68,Seneca,"Tiffin, OH, 44883",Stephen J. Anway,D,44.4,32,19,15.3,29.4,10.6,0.0,0.0,37.6
Anna Local,11321487.129999999,Shelby,"Anna, OH, 45302-0169",Andrew A. Bixler,C,52.4,74,61,13.1,38.1,3.4,6.8,0.0,52.3
Botkins Local,6129835.37,Shelby,"Botkins, OH, 45306-8006",Jeffrey T. McPheron,C,58.7,45,34,33.0,43.6,2.1,7.4,0.0,48.9
Fairlawn Local,5962819.17,Shelby,"Sidney, OH, 45365-9755",Jeffrey R. Hobbs,D,26.2,25,4,10.0,18.0,5.0,0.0,0.0,9.0
Fort Loramie Local,7709822.5600000005,Shelby,"Fort Loramie, OH, 45845-0026",Daniel B. Holland,C,59.1,68,59,19.3,43.4,2.8,20.0,0.0,57.9
Hardin-Houston Local,7821739.3100000005,Shelby,"Houston, OH, 45333-8630",Larry J. Claypool,D,38.0,37,31,9.8,21.3,7.4,0.0,0.0,41.8
Jackson Center Local,5097408.04,Shelby,"Jackson Center, OH, 45334-0849",William M. Reichert,D,41.0,23,19,17.1,28.6,2.9,12.9,0.0,37.1
Russia Local,4036277.83,Shelby,"Russia, OH, 45363-9811",Steven J. Rose,B,80.9,61,34,22.7,67.0,2.3,6.8,0.0,48.9
Canton Local,23541394.85,Stark,"Canton, OH, 44707-1118",Stephen P. Milano,D,41.7,110,84,18.8,24.4,7.1,12.3,0.0,31.8
Fairless Local,13956307.41,Stark,"Navarre, OH, 44662-9485",Broc A. Bidlack,D,36.4,87,42,16.8,22.3,5.8,2.2,0.0,24.8
Jackson Local,52185562.9,Stark,"Massillon, OH, 44646-9393",Christopher A. Diloreto,B,72.0,560,417,36.1,52.4,4.3,45.6,7.1,11.3
Lake Local,31106345.29,Stark,"Uniontown, OH, 44685-8220",Kevin T. Tobin,C,54.8,263,185,17.0,39.4,5.0,25.1,0.0,40.3
Lake Local,31106345.29,Wood,"Millbury, OH, 43447-9747",James T. Witt,D,32.7,85,3,16.0,22.8,6.8,0.0,0.0,1.1
Louisville City,25584786.04,Stark,"Louisville, OH, 44641-1419",Michele M. Shaffer,C,45.1,184,118,10.1,31.4,6.8,20.5,0.0,27.7
Marlington Local,21426185.23,Stark,"Alliance, OH, 44601-5906",Joseph A. Knoll,C,48.6,141,95,18.9,33.0,5.4,12.6,0.0,35.2
Minerva Local,15659257.98,Stark,"Minerva, OH, 44657-1429",Gary M. Chaddock,D,32.7,98,34,10.3,23.9,6.3,11.2,0.0,0.0
Northwest Local,18576030.9,Hamilton,"Cincinnati, OH, 45239-5207",Todd D. Bowling,D,36.8,450,239,18.6,20.8,6.4,16.3,0.0,6.6
Northwest Local,18576030.9,Scioto,"Mc Dermott, OH, 45652-9000",Anthony T. Jenkins,D,25.1,54,15,3.0,14.6,7.3,0.0,0.0,10.7
Northwest Local,18576030.9,Stark,"Canal Fulton, OH, 44614-9389",Michael R. Shreffler,D,40.9,109,50,10.6,31.7,4.3,20.1,0.0,0.0
Osnaburg Local,7835841.449999999,Stark,"East Canton, OH, 44730-1248",Todd D. Boggs,D,37.5,38,26,22.1,19.7,4.1,13.1,0.0,24.6
Perry Local,44408528.15,Allen,"Lima, OH, 45806-9743",Alison R. Van Gorder,F,23.8,24,0,16.8,13.9,4.0,0.0,0.0,0.0
Perry Local,44408528.15,Lake,"Perry, OH, 44081-9413",Jack K. Thompson,C,58.2,145,103,37.4,40.1,1.7,28.5,0.0,25.8
Perry Local,44408528.15,Stark,"Massillon, OH, 44646-3447",Scott A. Beatty,D,43.2,275,209,13.4,25.6,9.9,15.0,0.1,34.7
Plain Local,49655303.79,Stark,"Canton, OH, 44709-1611",Brent W. May,C,45.9,324,227,20.7,29.2,6.8,21.1,0.0,34.9
Sandy Valley Local,13832703.899999999,Stark,"Magnolia, OH, 44643-8481",David J. Fischer,D,31.8,64,42,6.2,19.9,5.4,7.5,0.0,27.4
Tuslaw Local,11646720.969999999,Stark,"Massillon, OH, 44647-9623",Melissa M. Marconi,C,46.1,102,69,15.0,25.9,10.9,3.0,0.0,40.2
Woodridge Local,24874762.91,Summit,"Peninsula, OH, 44264-9706",Walter C. Davis,C,46.6,122,67,25.9,36.4,1.6,21.0,0.0,8.5
Copley-Fairlawn City,32479150.77,Summit,"Copley, OH, 44321-1665",Brian E. Poe,C,61.3,278,151,27.9,49.9,2.3,25.6,0.0,9.3
Coventry Local,18805027.259999998,Summit,"Akron, OH, 44319-1849",Russell A. Chaboudy,D,38.8,137,59,19.5,20.6,8.8,1.5,0.0,17.3
Manchester Local,13705251.66,Adams,"Manchester, OH, 45144-9314",Brian E. Rau,F,21.0,19,17,13.9,8.7,0.0,0.0,0.0,32.2
Manchester Local,13705251.66,Summit,"Akron, OH, 44319-4654",James E. Robinson,C,46.4,86,43,13.6,34.7,5.2,14.1,0.0,16.4
Green Local,37693094.07,Scioto,"Franklin Furnace, OH, 45629-8889",Jodi B. Armstrong,D,30.4,21,13,19.5,19.5,1.2,0.0,0.0,23.2
Green Local,37693094.07,Summit,"Green, OH, 44232-0218",Jeffrey L. Miller II,C,64.5,331,227,30.7,47.3,3.2,26.5,0.0,30.4
Green Local,37693094.07,Wayne,"Smithville, OH, 44677-0438",Dean E. Frank,D,44.5,69,52,17.4,28.4,6.3,0.0,0.5,50.0
Hudson City,59212402.19,Summit,"Hudson, OH, 44236-2322",Phillip T. Herman,A,98.0,634,533,54.1,77.3,0.1,68.0,0.0,5.7
Mogadore Local,9915994.41,Summit,"Mogadore, OH, 44260-1514",John A. Knapp,D,34.7,41,15,19.8,26.7,1.5,13.0,0.0,0.0
Nordonia Hills City,41416650.54,Summit,"Northfield, OH, 44067",Joseph P. Clark,C,45.9,274,117,14.0,36.7,4.5,8.2,0.0,13.4
Revere Local,34850424.89,Summit,"Bath, OH, 44210-0340",Matthew L. Montgomery,B,77.0,282,123,46.1,67.1,0.5,30.2,0.0,1.2
Springfield Local,24987644.779999997,Lucas,"Holland, OH, 43528-9485",Matthew K. Geha,D,39.6,194,129,20.6,26.5,3.1,19.4,0.0,18.9
Springfield Local,24987644.779999997,Mahoning,"New Middletown, OH, 44442-0549",Thomas Yazvac,D,36.3,60,7,19.3,28.1,2.9,4.7,0.0,0.0
Springfield Local,24987644.779999997,Summit,"Akron, OH, 44312-4258",Charles Sincere,D,27.5,100,28,13.2,15.2,6.6,4.3,0.0,6.3
Twinsburg City,44460907.3,Summit,"Twinsburg, OH, 44087-1022",Kathryn M. Powers,C,59.8,322,234,32.2,44.5,3.5,37.0,0.0,12.7
Bloomfield-Mespo Local,3606765.37,Trumbull,"North Bloomfield, OH, 44450-0730",John R. Sheets,D,40.0,16,0,17.5,30.0,7.5,0.0,0.0,2.5
Bristol Local,6085227.5600000005,Trumbull,"Bristolville, OH, 44402-0260",Christopher J. Dray,C,45.5,38,22,11.2,25.5,12.2,9.2,0.0,34.7
Brookfield Local,9520756.68,Trumbull,"Brookfield, OH, 44403-9756",Velina J. Taylor,F,24.8,40,7,2.4,18.8,4.7,2.4,0.0,2.4
Champion Local,13788066.540000001,Trumbull,"Warren, OH, 44483-1144",Pamela F. Hood,C,45.5,87,57,14.0,30.6,6.1,0.0,0.0,30.6
Mathews Local,8020291.899999999,Trumbull,"Cortland, OH, 44410-9445",Lewis L. Lowery,C,46.2,50,12,8.6,29.3,13.8,0.0,0.0,12.9
Howland Local,28514927.72,Trumbull,"Warren, OH, 44484-2447",Kevin R. Spicher,D,44.5,173,76,15.2,37.0,2.0,10.0,0.0,10.7
Joseph Badger Local,7931452.82,Trumbull,"Kinsman, OH, 44428-9788",David D. Bair,D,43.5,57,19,18.1,29.2,9.7,4.2,0.0,11.8
Lakeview Local,14936471.879999999,Trumbull,"Cortland, OH, 44410-1562",Robert A. Wilson,C,54.9,134,66,8.2,39.6,8.6,16.1,0.0,21.4
Liberty Local,14000126.260000002,Trumbull,"Youngstown, OH, 44505-1353",Joseph S. Nohra,D,30.5,49,31,16.2,15.2,3.7,0.5,0.0,24.1
Lordstown Local,7530889.15,Trumbull,"Warren, OH, 44481-9735",Terry P. Armstrong,C,56.8,40,20,23.5,32.1,12.3,0.0,0.0,28.4
Maplewood Local,8483815.95,Trumbull,"Cortland, OH, 44410-9648",Perry D. Nicholas,C,57.8,56,33,0.0,38.6,11.4,7.9,0.0,32.5
McDonald Local,6929057.12,Trumbull,"Mc Donald, OH, 44437-1677",Kevin R. O'Connell,C,52.0,65,31,13.3,35.0,10.5,0.0,0.0,22.4
Southington Local,5000590.08,Trumbull,"Southington, OH, 44470-9524",Rocco Nero,D,37.1,31,8,16.7,25.6,6.7,6.7,0.0,2.2
LaBrae Local,12540963.07,Trumbull,"Leavittsburg, OH, 44430-9644",Anthony J. Calderone,D,33.1,67,33,12.5,19.8,7.8,1.7,0.0,15.9
Weathersfield Local,9442589.540000001,Trumbull,"Mineral Ridge, OH, 44440-9571",Damon J. Dohar,D,44.8,62,22,13.1,34.0,6.5,7.8,0.0,13.1
Garaway Local,11256713.39,Tuscarawas,"Sugarcreek, OH, 44681-9309",James A. Millet,C,45.2,70,47,18.8,30.6,4.3,19.4,0.0,19.4
Indian Valley Local,17283280.27,Tuscarawas,"Gnadenhutten, OH, 44629-0171",Gary I. Wentworth,D,36.8,85,38,13.7,22.5,8.4,0.0,0.0,21.0
Strasburg-Franklin Local,5886058.76,Tuscarawas,"Strasburg, OH, 44680-1122",Cynthia L. Brown,D,42.1,33,19,14.1,27.2,7.6,0.0,0.0,28.3
Tuscarawas Valley Local,13180406.04,Tuscarawas,"Zoarville, OH, 44656-9692",Mark A. Murphy,D,42.1,92,51,8.2,27.8,9.0,11.0,0.0,17.3
Fairbanks Local,11803640.99,Union,"Milford Center, OH, 43045-9764",Robert J. Humble,C,54.8,71,52,29.7,38.0,4.4,26.6,0.0,25.9
North Union Local School District,17200188.24,Union,"Richwood, OH, 43344-9728",Richard J. Baird,D,32.2,72,9,16.4,23.3,3.9,4.3,0.0,0.0
Crestview Local,10033391.44,Columbiana,"Columbiana, OH, 44408-9660",Matthew T. Manley,C,47.6,72,39,20.5,30.1,8.5,17.6,0.0,10.2
Crestview Local,10033391.44,Richland,"Ashland, OH, 44805-9262",Larry R. Dunlap,D,35.7,56,11,10.2,26.5,6.6,0.0,0.0,12.0
Crestview Local,10033391.44,Van Wert,"Convoy, OH, 45832-8864",Michael Y. Estes,C,46.4,55,21,7.6,35.6,6.1,14.4,0.0,4.5
Lincolnview Local,8781905.64,Van Wert,"Van Wert, OH, 45891-9769",Jeffrey T. Snyder,D,44.2,52,24,16.4,24.6,9.7,0.0,0.0,26.1
Vinton County Local,25881946.35,Vinton,"Mc Arthur, OH, 45651-1093",Rick L. Brooks,F,23.8,77,18,7.8,14.7,7.8,4.9,0.0,2.9
Carlisle Local,16219449.75,Warren,"Carlisle, OH, 45005-3148",Larry R. Hook,D,36.3,61,53,8.0,22.2,5.7,3.3,0.0,42.5
Springboro Community City,48512652.42,Warren,"Springboro, OH, 45066-1524",Daniel J. Schroer,B,73.0,559,216,36.7,61.6,3.0,9.9,0.0,24.9
Kings Local,45518366.28,Warren,"Kings Mills, OH, 45034",Timothy A. Ackermann,B,72.6,363,287,31.0,55.1,5.5,38.3,0.0,32.3
Little Miami Local,40663163.41,Warren,"Maineville, OH, 45039-8098",Gregory Power,C,49.6,217,124,13.8,37.0,4.9,18.7,0.0,18.9
Mason City,110515464.01,Warren,"Mason, OH, 45040-1760",Gail E. Kist,A,91.5,1198,1181,22.3,69.7,0.7,49.8,0.0,90.4
Wayne Local,12889275.52,Warren,"Waynesville, OH, 45068-9588",Patrick E. Dubbs,C,57.0,120,64,23.0,43.4,4.9,18.9,0.0,25.4
Fort Frye Local,9822700.45,Washington,"Beverly, OH, 45715-8916",Stephanie D. Starcher,C,54.8,76,50,20.5,24.1,18.1,3.6,0.0,45.8
Frontier Local,7726614.449999999,Washington,"New Matamoras, OH, 45767-6149",Brian J. Rentsch,D,38.7,40,6,13.0,15.7,17.6,0.0,0.0,6.5
Warren Local,20495168.73,Washington,"Vincent, OH, 45784-5005",Kyle R. Newton,D,39.3,129,36,11.0,26.4,8.4,3.4,0.0,11.5
Wolf Creek Local,7288363.720000001,Washington,"Waterford, OH, 45786-0067",Douglas A. Baldwin,C,53.0,47,27,29.8,24.0,11.5,0.0,0.0,37.5
Chippewa Local,12482386.84,Wayne,"Doylestown, OH, 44230-1350",Sandra J. Stebly,C,58.9,106,96,31.9,36.2,3.1,17.9,0.4,59.8
Dalton Local,8284254.15,Wayne,"Dalton, OH, 44618-0514",James R. Saxer,C,59.9,67,64,32.6,39.6,1.4,0.0,2.8,61.1
Green Local,10659911.28,Scioto,"Franklin Furnace, OH, 45629-8889",Jodi B. Armstrong,D,30.4,21,13,19.5,19.5,1.2,0.0,0.0,23.2
Green Local,10659911.28,Summit,"Green, OH, 44232-0218",Jeffrey L. Miller II,C,64.5,331,227,30.7,47.3,3.2,26.5,0.0,30.4
Green Local,10659911.28,Wayne,"Smithville, OH, 44677-0438",Dean E. Frank,D,44.5,69,52,17.4,28.4,6.3,0.0,0.5,50.0
Norwayne Local,11695114.93,Wayne,"Creston, OH, 44217-9665",Karen E. O'Hare,C,46.2,73,60,10.7,33.5,3.0,0.0,0.0,42.1
Northwestern Local,16247744.11,Clark,"Springfield, OH, 45502-9032",Jesse D. Steiner,D,36.0,84,56,16.1,21.4,6.1,3.2,0.0,31.1
Northwestern Local,16247744.11,Wayne,"West Salem, OH, 44287-9707",Jeffrey N. Layton,C,45.1,70,49,18.6,31.4,3.2,0.0,0.0,33.5
Southeast Local,16476318.110000001,Portage,"Ravenna, OH, 44266-8547",Robert C. Dunn,D,25.9,67,45,6.4,18.0,3.5,6.1,0.0,15.1
Southeast Local,16476318.110000001,Wayne,"Apple Creek, OH, 44606-9408",James J. Ritchie,C,46.3,71,52,20.9,30.5,4.8,11.8,0.0,39.6
Triway Local,18219687.35,Wayne,"Wooster, OH, 44691-4439",Nathan G. Schindewolf,D,34.9,74,43,6.4,22.9,6.0,0.0,0.4,21.7
Edgerton Local,5966223.58,Williams,"Edgerton, OH, 43517-9623",Kermit E. Riehle,D,44.3,42,18,18.7,31.8,5.6,3.7,0.0,19.6
Edon Northwest Local,6074462.32,Williams,"Edon, OH, 43518-9627",Anthony J. Stevens,D,44.7,28,17,32.4,33.8,0.0,4.1,0.0,25.7
Millcreek-West Unity Local,6031045.32,Williams,"West Unity, OH, 43570-9465",Larry E. Long,C,58.9,42,21,14.6,34.1,15.9,0.0,0.0,32.9
North Central Local,6721477.949999999,Williams,"Pioneer, OH, 43554-9637",William D. Hanak,D,34.5,22,13,14.7,24.0,4.0,0.0,0.0,20.0
Stryker Local,4507378.64,Williams,"Stryker, OH, 43557-9307",Nate R. Johnson,D,26.7,14,4,17.5,15.8,5.3,5.3,0.0,3.5
Eastwood Local,15967049.459999999,Wood,"Pemberville, OH, 43450-9626",William B. Welker,C,53.8,126,70,27.5,38.8,6.6,0.0,0.0,31.5
Elmwood Local,13034785.82,Wood,"Bloomdale, OH, 44817-9763",Tony D. Borton,D,41.2,67,24,25.6,25.6,3.9,0.0,0.0,16.1
Lake Local,15045645.87,Stark,"Uniontown, OH, 44685-8220",Kevin T. Tobin,C,54.8,263,185,17.0,39.4,5.0,25.1,0.0,40.3
Lake Local,15045645.87,Wood,"Millbury, OH, 43447-9747",James T. Witt,D,32.7,85,3,16.0,22.8,6.8,0.0,0.0,1.1
North Baltimore Local,8373557.640000001,Wood,"North Baltimore, OH, 45872-1354",Ryan G. Delaney,D,36.7,39,2,24.1,13.9,10.2,0.0,0.0,1.9
Northwood Local Schools,10944546.0,Wood,"Northwood, OH, 43619-1810",Gregory A. Clark,D,27.6,42,11,13.4,17.1,6.7,0.0,0.0,7.9
Otsego Local,14551328.629999999,Wood,"Bowling Green, OH, 43402-0290",Adam E. Koch,D,31.6,73,0,13.0,27.3,3.5,0.0,0.0,0.0
Mohawk Local,9559565.530000001,Wyandot,"Sycamore, OH, 44882-9434",Kenneth D. Ratliff,C,56.7,61,46,26.5,28.0,13.6,3.0,0.0,52.3
Adams County Ohio Valley Local,42367885.19,Adams,"West Union, OH, 45693-8974",Richard A. Seas,F,17.6,85,73,6.6,13.0,0.2,0.0,0.0,25.7
College Corner Local,307135.61,,,,,,,,,,,,,
Gallia County Local,27694678.77,Gallia,"Patriot, OH, 45658-8960",Jude E. Meyers,D,33.8,105,29,13.1,15.5,8.9,1.8,0.0,13.1
East Guernsey Local,12658196.77,Guernsey,"Old Washington, OH, 43768-0128",Adam M. Pittis,F,22.1,38,8,6.6,16.4,4.4,0.0,0.0,5.5
Tri-County North Local,9003085.05,Preble,"Lewisburg, OH, 45338-0040",William K. Derringer,D,29.1,47,12,18.4,11.5,10.3,0.0,0.0,12.1
Monroe Local,22095497.31,Butler,"Monroe, OH, 45050-1068",Philip F. Cagwin,C,53.5,147,116,30.9,21.2,11.5,22.9,0.0,40.3
