District,OperatingExpenditures,County,Address,"City, State, Zip",Superintendent,K3 Literacy Grade,K3 Literacy Percent,Total Students Off Track Point A,Total Students Moved to On Track Point B,RIMP Deductions,Current Year % of Kindergarteners Not on Track,Students Off Track Year 1,Students Moved to On Track Year 1,Students Off Track Year 2,Students Moved to On Track Year 2,Students off Track Year 3,Students Moved to On Track Year 3,Students Off Track  Year 4,Students Moved to On Track Year 4,% of 3rd Graders Meeting 3rd Grade Reading Guarantee
Fairland Local,14054332.64,Lawrence,228 Private Drive 10010,"Proctorville, OH, 45669-8600",Roni D. Hayes,NR,NC,NC,0,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,99.1
Rock Hill Local,18810152.919999998,Lawrence,2325A Co. Rd. 26,"Ironton, OH, 45638-8385",Wesley L. Hairston,C,29.1,117,34,NC,27.7,NC,NC,NC,NC,NC,NC,NC,NC,96.8
South Point Local,15724024.17,Lawrence,302 High St,"South Point, OH, 45680",Mark A. Christian,C,30.3,89,27,NC,52.6,NC,NC,NC,NC,NC,NC,NC,NC,96.5
Symmes Valley Local,9663174.81,Lawrence,14778 State Route 141,"Willow Wood, OH, 45696-9015",Darrell A. Humphreys,NR,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,100.0
Johnstown-Monroe Local,14273438.93,Licking,441 S Main St,"Johnstown, OH, 43031-1297",Dale L. Dickson,C,37.0,81,30,NC,86.2,NC,NC,NC,NC,NC,NC,NC,NC,99.1
Lakewood Local,21897358.240000002,Licking,PO Box 70,"Hebron, OH, 43025-0070",Mary K. Andrews,C,46.4,179,83,NC,51.0,NC,NC,NC,NC,NC,NC,NC,NC,100.0
Licking Heights Local,38173728.57,Licking,6539 Summit Rd SW,"Pataskala, OH, 43062-8767",Philip H. Wagner,C,34.7,438,152,NC,50.5,96,52,133,50,94,20,115,39,90.6
Licking Valley Local,18633408.43,Licking,1379 Licking Valley Rd,"Newark, OH, 43055-9450",David L. Hile,NR,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,90.6
North Fork Local,15964191.370000001,Licking,PO Box 497,"Utica, OH, 43080-0497",Scott L. Hartley,D,22.9,48,11,24,9.0,NC,NC,NC,NC,NC,NC,NC,NC,84.6
Northridge Local,12817264.879999999,Licking,6066 Johnstown Utica Rd,"Johnstown, OH, 43031-9408",Scott A. Schmidt,D,18.6,86,16,NC,21.6,NC,NC,NC,NC,NC,NC,NC,NC,94.0
Northridge Local,12817264.879999999,Montgomery,2008 Timber Ln,"Dayton, OH, 45414-4528",David A. Jackson,C,25.0,180,45,NC,51.7,NC,NC,NC,NC,NC,NC,NC,NC,88.8
Southwest Licking Local,35444018.26,Licking,927-A South Street,"Pataskala, OH, 43062",Robert T. Jennell,B,52.4,269,141,22,12.4,79,60,59,48,77,42,54,13,99.4
Benjamin Logan Local,18099686.91,Logan,4740 County Road 26,"Bellefontaine, OH, 43311-9532",David L. Harmon,C,40.0,170,68,NC,21.1,NC,NC,NC,NC,NC,NC,NC,NC,99.3
Indian Lake Local,16420405.309999999,Logan,6210 State Route 235 N,"Lewistown, OH, 43333-9704",Robert J. Underwood,C,46.4,138,64,NC,33.9,NC,NC,NC,NC,NC,NC,NC,NC,96.5
Riverside Local,6631259.01,Lake,585 Riverside Dr,"Painesville, OH, 44077-5323",James P. Kalis,C,26.3,179,47,18,45.2,NC,NC,NC,NC,NC,NC,NC,NC,97.1
Riverside Local,6631259.01,Logan,2096 County Road 24 S,"De Graff, OH, 43318-9406",Scott M. Mann,C,42.4,85,36,NC,27.5,NC,NC,NC,NC,NC,NC,NC,NC,100.0
Avon Local,38721255.26,Lorain,36600 Detroit Rd,"Avon, OH, 44011-1507",Michael K. Laub Jr,D,20.5,44,9,NC,14.0,NC,NC,NC,NC,NC,NC,NC,NC,99.0
Avon Lake City,40199577.5,Lorain,175 Avon Belden Rd,"Avon Lake, OH, 44012-1600",Robert D. Scott,B,54.5,123,67,NC,7.4,16,11,19,10,54,30,34,22,99.2
Clearview Local,14787587.009999998,Lorain,4700 Broadway,"Lorain, OH, 44052-5542",Jerome M. Davis,C,32.8,67,22,NC,33.9,NC,NC,NC,NC,NC,NC,NC,NC,94.4
Columbia Local,9793610.22,Lorain,25796 Royalton Rd,"Columbia Station, OH, 44028-9441",Graig P. Bansek,B,55.8,52,29,NC,6.0,NC,NC,NC,NC,NC,NC,NC,NC,100.0
Firelands Local,16347897.68,Lorain,112 N Lake St,"South Amherst, OH, 44001-2824",Michael J. Von Gunten,B,72.1,43,31,NC,10.8,NC,NC,NC,NC,NC,NC,NC,NC,95.5
Keystone Local,13808064.309999999,Lorain,PO Box 65,"Lagrange, OH, 44050-0065",Franco Gallo,B,52.5,120,63,NC,41.8,NC,NC,NC,NC,NC,NC,NC,NC,96.4
Midview Local,28770993.48,Lorain,13050 Durkee Rd,"Grafton, OH, 44044-1122",Bruce R. Willingham,C,33.7,371,125,NC,51.3,83,14,96,28,88,21,104,64,97.4
Anthony Wayne Local,40965537.95,Lucas,PO Box 2487,"Whitehouse, OH, 43571-0487",James A. Fritz,NR,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,98.0
Ottawa Hills Local,14064280.68,Lucas,3600 Indian Rd,"Toledo, OH, 43606-2425",Kevin S. Miller,NR,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,100.0
Springfield Local,41045485.09,Lucas,6900 Hall St,"Holland, OH, 43528-9485",Matthew K. Geha,D,21.7,106,23,NC,26.3,NC,NC,NC,NC,NC,NC,NC,NC,98.4
Springfield Local,41045485.09,Mahoning,PO Box 549,"New Middletown, OH, 44442-0549",Thomas Yazvac,F,-30.8,13,0,11,8.5,NC,NC,NC,NC,NC,NC,NC,NC,100.0
Springfield Local,41045485.09,Summit,2410 Massillon Rd,"Akron, OH, 44312-4258",Charles Sincere,C,29.3,191,56,NC,53.0,NC,NC,NC,NC,NC,NC,NC,NC,89.5
Washington Local,84338269.64,Lucas,3505 W Lincolnshire Blvd,"Toledo, OH, 43606-1231",Susan M. Hayward,B,50.4,758,382,NC,52.4,NC,NC,NC,NC,NC,NC,NC,NC,93.2
Jefferson Local,13419553.07,Madison,906 W Main St,"West Jefferson, OH, 43162-1144",William R. Mullett,C,44.7,38,17,13,36.8,NC,NC,NC,NC,NC,NC,NC,NC,97.1
Jonathan Alder Local,20620481.49,Madison,9200 US Route 42 S,"Plain City, OH, 43064",Gary L. Chapman,C,35.3,133,47,NC,17.6,NC,NC,NC,NC,NC,NC,NC,NC,99.3
Madison-Plains Local,13955375.58,Madison,55 Linson Rd,"London, OH, 43140-9751",Timothy Dettwiller,B,61.9,42,26,NC,41.2,NC,NC,NC,NC,NC,NC,NC,NC,94.4
Austintown Local Schools,43560270.06,Mahoning,700 S Raccoon Rd,"Youngstown, OH, 44515-3536",Vincent S. Colaluca,C,33.4,437,146,15,44.9,139,71,78,21,77,10,143,59,98.5
Boardman Local,42340302.61,Mahoning,7410 Market St,"Youngstown, OH, 44512-5612",Timothy L. Saxton,C,37.9,301,114,NC,55.1,NC,NC,NC,NC,NC,NC,NC,NC,99.4
Canfield Local,26153241.32,Mahoning,100 Wadsworth St,"Canfield, OH, 44406-1451",Alex G. Geordan,B,53.8,104,56,NC,8.6,NC,NC,NC,NC,NC,NC,NC,NC,100.0
Jackson-Milton Local,8815426.34,Mahoning,13910 Mahoning Ave,"North Jackson, OH, 44451-9616",Kirk W. Baker,NR,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,92.9
Lowellville Local,5470855.4,Mahoning,52 Rocket Place,"Lowellville, OH, 44436",Eugene M. Thomas,NR,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,100.0
Poland Local,19893582.68,Mahoning,3199 Dobbins Rd,"Poland, OH, 44514-2327",David R. Janofa,NR,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,100.0
Sebring Local,5731305.6899999995,Mahoning,510 N 14th St,"Sebring, OH, 44672-1400",Antoinette C. Viscounte,C,25.3,83,21,NC,23.3,NC,NC,NC,NC,NC,NC,NC,NC,86.8
South Range Local,12704083.25,Mahoning,11300 Columbiana Canfield Rd Ste B,"Canfield, OH, 44406-8485",Dennis J. Dunham,C,41.2,17,7,NC,12.2,NC,NC,NC,NC,NC,NC,NC,NC,100.0
Springfield Local,10570701.19,Lucas,6900 Hall St,"Holland, OH, 43528-9485",Matthew K. Geha,D,21.7,106,23,NC,26.3,NC,NC,NC,NC,NC,NC,NC,NC,98.4
Springfield Local,10570701.19,Mahoning,PO Box 549,"New Middletown, OH, 44442-0549",Thomas Yazvac,F,-30.8,13,0,11,8.5,NC,NC,NC,NC,NC,NC,NC,NC,100.0
Springfield Local,10570701.19,Summit,2410 Massillon Rd,"Akron, OH, 44312-4258",Charles Sincere,C,29.3,191,56,NC,53.0,NC,NC,NC,NC,NC,NC,NC,NC,89.5
West Branch Local,20257686.669999998,Mahoning,14277 S Main St,"Beloit, OH, 44609-9504",Timothy E. Saxton,B,68.8,125,86,NC,38.2,NC,NC,NC,NC,NC,NC,NC,NC,100.0
Western Reserve Local,6309720.37,Huron,3765 US Rt 20,"Collins, OH, 44826",Rodge F. Wilson,B,54.5,99,54,27,28.6,NC,NC,NC,NC,NC,NC,NC,NC,100.0
Western Reserve Local,6309720.37,Mahoning,13850 W Akron Canfield Rd,"Berlin Center, OH, 44401-9752",Douglas E. Mcglynn,B,63.2,19,12,NC,61.7,NC,NC,NC,NC,NC,NC,NC,NC,100.0
Elgin Local,11025232.620000001,Marion,1239 Keener Rd S,"Marion, OH, 43302-1110",Bruce M. Gast,C,30.1,136,41,NC,22.2,NC,NC,NC,NC,NC,NC,NC,NC,100.0
Pleasant Local,9912593.5,Marion,1107 Owens Rd W,"Marion, OH, 43302-8421",Jennifer L. Adams,C,38.8,98,38,NC,37.8,NC,NC,NC,NC,NC,NC,NC,NC,100.0
Ridgedale Local,7562238.18,Marion,3103 Hillman Ford Rd,"Morral, OH, 43337-9302",Robert A. Britton,D,1.5,65,1,16,41.7,NC,NC,NC,NC,NC,NC,NC,NC,78.9
River Valley Local,18394706.619999997,Marion,197 Brockelsby Road,"Caledonia, OH, 43314",James P. Peterson,F,-7.9,38,0,32,26.7,NC,NC,NC,NC,NC,NC,NC,NC,99.3
Black River Local,12865540.530000001,Medina,257A County Road 40,"Sullivan, OH, 44880-9731",Chris A. Clark,C,36.4,88,32,NC,11.5,NC,NC,NC,NC,NC,NC,NC,NC,100.0
Buckeye Local,21557488.619999997,Ashtabula,3436 Edgewood Dr,"Ashtabula, OH, 44004-5967",Patrick E. Colucci,C,39.7,194,77,NC,40.3,NC,NC,NC,NC,NC,NC,NC,NC,99.1
Buckeye Local,21557488.619999997,Jefferson,6899 State Highway 150,"Dillonvale, OH, 43917-7904",Kimberly D. Leonard,C,34.0,97,33,NC,44.4,NC,NC,NC,NC,NC,NC,NC,NC,100.0
Buckeye Local,21557488.619999997,Medina,3044 Columbia Rd,"Medina, OH, 44256-9411",Kent J. Morgan,C,37.6,141,53,NC,24.6,NC,NC,NC,NC,NC,NC,NC,NC,100.0
Cloverleaf Local,26258180.82,Medina,8525 Friendsville Rd,"Lodi, OH, 44254-9706",Daryl G. Kubilus Jr,C,32.1,249,80,NC,43.2,NC,NC,NC,NC,NC,NC,NC,NC,100.0
Highland Local,29691433.35,Medina,3880 Ridge Rd,"Medina, OH, 44256-7920",Catherine L. Aukerman,NR,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,100.0
Highland Local,29691433.35,Morrow,6506 State Route 229,"Marengo, OH, 43334-0098",Daniel W. Freund,C,45.2,84,38,NC,21.0,NC,NC,NC,NC,NC,NC,NC,NC,93.5
Eastern Local,8042554.41,Brown,11479 US Highway 62,"Winchester, OH, 45697-9690",Michele R. Filon,B,55.0,40,22,NC,24.1,NC,NC,NC,NC,NC,NC,NC,NC,94.1
Eastern Local,8042554.41,Meigs,50008 State Route 681,"Reedsville, OH, 45772-9022",Steven P. Ohlinger,A,80.6,31,25,NC,27.5,NC,NC,NC,NC,NC,NC,NC,NC,100.0
Eastern Local,8042554.41,Pike,1170 Tile Mill Rd,"Beaver, OH, 45613-9435",Neil E. Leist,C,30.6,36,11,NC,5.8,NC,NC,NC,NC,NC,NC,NC,NC,100.0
Meigs Local,22135484.3,Meigs,41765 Pomeroy Pike,"Pomeroy, OH, 45769-9411",Scot F. Gheen,D,1.4,71,1,32,42.7,NC,NC,NC,NC,NC,NC,NC,NC,92.5
Southern Local,7550356.539999999,Columbiana,38095 State Route 39,"Salineville, OH, 43945-9726",John S. Wilson,C,46.4,28,13,NC,51.4,NC,NC,NC,NC,NC,NC,NC,NC,100.0
Southern Local,7550356.539999999,Meigs,920 Elm St,"Racine, OH, 45771-8902",Anthony W. Deem,C,39.1,64,25,10,53.8,NC,NC,NC,NC,NC,NC,NC,NC,100.0
Southern Local,7550356.539999999,Perry,10397 State Route 155 SE # 1,"Corning, OH, 43730-9710",Ralph G. Holbert,F,-6.3,32,0,10,31.5,NC,NC,NC,NC,NC,NC,NC,NC,97.2
Marion Local,7960219.74,Mercer,7956 State Route 119,"Maria Stein, OH, 45860-9710",Michael L. Pohlman,C,35.0,20,7,NC,8.0,NC,NC,NC,NC,NC,NC,NC,NC,100.0
Parkway Local,12479046.21,Mercer,400 Buckeye St,"Rockford, OH, 45882-9267",Jean M. Osterfeld,B,65.2,23,15,NC,21.9,NC,NC,NC,NC,NC,NC,NC,NC,98.8
St Henry Consolidated Local,9283430.540000001,Mercer,391 E Columbus St,"Saint Henry, OH, 45883-9574",Julie A. Garke,C,31.0,29,9,NC,29.3,NC,NC,NC,NC,NC,NC,NC,NC,100.0
Fort Recovery Local,9826995.34,Mercer,PO Box 604,"Fort Recovery, OH, 45846-0604",Justin M. Firks,B,69.8,86,60,NC,28.1,NC,NC,NC,NC,NC,NC,NC,NC,100.0
Bethel Local,11044645.0,Miami,7490 State Route 201,"Tipp City, OH, 45371-7316",Virginia D. Potter,C,28.6,35,10,12,21.2,NC,NC,NC,NC,NC,NC,NC,NC,100.0
Miami East Local,12177170.809999999,Miami,3825 N State Route 589,"Casstown, OH, 45312-9707",Todd A. Rappold,C,27.5,51,14,NC,33.3,NC,NC,NC,NC,NC,NC,NC,NC,96.8
Newton Local,6392969.4,Miami,PO Box 803,"Pleasant Hill, OH, 45359-0803",Pat L. McBride,C,44.4,27,12,NC,10.8,NC,NC,NC,NC,NC,NC,NC,NC,100.0
Switzerland of Ohio Local,29098964.26,Monroe,304 Mill St,"Woodsfield, OH, 43793-1256",Jeffrey S. Greenley,C,34.0,294,100,NC,59.1,NC,NC,NC,NC,NC,NC,NC,NC,90.6
Brookville Local,13301657.719999999,Montgomery,75 June Pl,"Brookville, OH, 45309-1621",Timothy L. Hopkins,C,45.7,92,42,NC,21.1,NC,NC,NC,NC,NC,NC,NC,NC,100.0
Jefferson Township Local,5794400.42,Montgomery,2625 S Union Rd,"Dayton, OH, 45417-5535",Richard Gates,B,66.7,24,16,NC,60.5,NC,NC,NC,NC,NC,NC,NC,NC,93.8
Trotwood-Madison City,31479259.31,Montgomery,3594 N Snyder Rd,"Trotwood, OH, 45426-3835",Kevin A. Bell,C,36.3,226,82,NC,36.2,47,24,55,25,56,20,68,14,91.9
Mad River Local,44534797.7,Montgomery,801 Old Harshman Rd,"Dayton, OH, 45431-1238",Chad M. Wyen,C,42.1,409,172,NC,61.5,96,53,121,60,90,32,102,27,98.4
New Lebanon Local,11250695.01,Montgomery,320 S Fuls Rd,"New Lebanon, OH, 45345",Greg A. Williams,B,51.8,85,44,NC,27.6,NC,NC,NC,NC,NC,NC,NC,NC,100.0
Northmont City,56271295.71,Montgomery,4001 Old Salem Rd,"Englewood, OH, 45322-2681",Anthony R. Thomas,C,31.5,197,62,NC,37.5,NC,NC,NC,NC,NC,NC,NC,NC,100.0
Northridge Local,21121651.3,Licking,6066 Johnstown Utica Rd,"Johnstown, OH, 43031-9408",Scott A. Schmidt,D,18.6,86,16,NC,21.6,NC,NC,NC,NC,NC,NC,NC,NC,94.0
Northridge Local,21121651.3,Montgomery,2008 Timber Ln,"Dayton, OH, 45414-4528",David A. Jackson,C,25.0,180,45,NC,51.7,NC,NC,NC,NC,NC,NC,NC,NC,88.8
Valley View Local,20077464.38,Montgomery,59 Peffley St,"Germantown, OH, 45327-1021",Richard S. Earley,C,41.4,70,29,NC,11.1,NC,NC,NC,NC,NC,NC,NC,NC,97.5
Huber Heights City,59853250.769999996,Montgomery,5954 Longford Rd,"Huber Heights, OH, 45424-2943",Susan M. Gunnell,C,36.1,560,202,NC,55.1,170,76,166,69,106,33,118,25,96.0
Morgan Local,21803471.28,Morgan,PO Box 509,"Mc Connelsville, OH, 43756-0509",Lori A. Snyder-Lowe,A,82.7,52,43,NC,25.0,NC,NC,NC,NC,NC,NC,NC,NC,100.0
Cardington-Lincoln Local,11706754.969999999,Morrow,121 Nichols St,"Cardington, OH, 43315-1121",Christopher B. Petrie,C,46.7,75,35,NC,42.2,NC,NC,NC,NC,NC,NC,NC,NC,90.1
Highland Local,18269710.32,Medina,3880 Ridge Rd,"Medina, OH, 44256-7920",Catherine L. Aukerman,NR,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,100.0
Highland Local,18269710.32,Morrow,6506 State Route 229,"Marengo, OH, 43334-0098",Daniel W. Freund,C,45.2,84,38,NC,21.0,NC,NC,NC,NC,NC,NC,NC,NC,93.5
Northmor Local,10644369.14,Morrow,5247 County Road 29,"Galion, OH, 44833-9742",Chad A. Redmon,D,19.2,26,5,NC,36.2,NC,NC,NC,NC,NC,NC,NC,NC,89.1
East Muskingum Local,19274460.98,Muskingum,13505 John Glenn School Rd,"New Concord, OH, 43762-9702",Jill R. Sheridan,C,46.0,124,57,NC,23.1,NC,NC,NC,NC,NC,NC,NC,NC,95.8
Franklin Local,20776278.490000002,Muskingum,PO Box 428,"Duncan Falls, OH, 43734-0428",Sharon A. McDermott,C,32.5,169,55,NC,22.4,30,15,37,12,50,10,52,18,100.0
Maysville Local,20854956.33,Muskingum,3715 Panther Dr,"Zanesville, OH, 43701-7086",Ruth E. Zitnik,C,33.7,291,98,NC,27.2,NC,NC,NC,NC,NC,NC,NC,NC,100.0
Tri-Valley Local,27956451.900000002,Muskingum,36 E Muskingum Ave,"Dresden, OH, 43821-9701",Mark K. Neal,C,37.7,223,84,14,21.1,50,32,51,14,69,25,53,27,99.6
West Muskingum Local,14477895.63,Muskingum,4880 West Pike,"Zanesville, OH, 43701-9390",Chad J. Shawger,NR,NC,NC,0,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,95.0
Noble Local,12394274.02,Noble,20977 Zep Rd E,"Sarahsville, OH, 43779-9702",Daniel C. Leffingwell,C,37.3,83,31,NC,23.6,NC,NC,NC,NC,NC,NC,NC,NC,98.6
Benton Carroll Salem Local,17517710.04,Ottawa,11685 W State Route 163,"Oak Harbor, OH, 43449-1278",Guy L. Parmigian,B,54.3,116,63,NC,30.9,36,25,22,13,28,14,30,15,95.5
Danbury Local,8839441.629999999,Ottawa,9451 E Harbor Rd,"Lakeside Marblehead, OH, 43440-1310",Daniel P. Parent,C,48.5,33,16,NC,38.2,NC,NC,NC,NC,NC,NC,NC,NC,100.0
Genoa Area Local,11736991.22,Ottawa,2810 N Genoa Clay Center Rd,"Genoa, OH, 43430-9730",Michael G. Ferguson,C,42.6,122,52,NC,34.8,NC,NC,NC,NC,NC,NC,NC,NC,99.1
Middle Bass Local,107933.71,,,,,,,,,,,,,,,,,,,
North Bass Local,44952.36,,,,,,,,,,,,,,,,,,,
Put-In-Bay Local,2581440.8600000003,Ottawa,PO Box 659,"Put In Bay, OH, 43456-0659",Steven J. Poe,D,0.0,14,0,NC,100.0,NC,NC,NC,NC,NC,NC,NC,NC,100.0
Antwerp Local,7921497.72,Paulding,303 S. Harrmann Rd,"Antwerp, OH, 45813",Martin A. Miller,C,40.7,59,24,NC,48.9,NC,NC,NC,NC,NC,NC,NC,NC,100.0
Wayne Trace Local,11229121.82,Paulding,4915 US Route 127,"Haviland, OH, 45851-9738",Benjamin A. Winans,D,21.4,28,6,NC,21.0,NC,NC,NC,NC,NC,NC,NC,NC,98.4
Northern Local,22778794.1,Perry,8700 Sheridan Dr,"Thornville, OH, 43076-9757",Thomas P. Perkins,D,11.4,166,19,NC,39.4,NC,NC,NC,NC,NC,NC,NC,NC,100.0
Southern Local,9427379.469999999,Columbiana,38095 State Route 39,"Salineville, OH, 43945-9726",John S. Wilson,C,46.4,28,13,NC,51.4,NC,NC,NC,NC,NC,NC,NC,NC,100.0
Southern Local,9427379.469999999,Meigs,920 Elm St,"Racine, OH, 45771-8902",Anthony W. Deem,C,39.1,64,25,10,53.8,NC,NC,NC,NC,NC,NC,NC,NC,100.0
Southern Local,9427379.469999999,Perry,10397 State Route 155 SE # 1,"Corning, OH, 43730-9710",Ralph G. Holbert,F,-6.3,32,0,10,31.5,NC,NC,NC,NC,NC,NC,NC,NC,97.2
Logan Elm Local,18619127.57,Pickaway,9579 Tarlton Rd,"Circleville, OH, 43113-9448",Timothy L. Williams,C,49.1,112,55,NC,40.4,NC,NC,NC,NC,NC,NC,NC,NC,100.0
Teays Valley Local,36621254.730000004,Pickaway,385 Viking Way,"Ashville, OH, 43103-9638",Robin N. Halley,C,31.4,239,75,25,27.4,77,32,76,21,46,24,40,23,98.9
Westfall Local,15736435.65,Pickaway,19463 Pherson Pike,"Williamsport, OH, 43164-9745",Lynn P. Landis,C,27.3,44,12,17,6.2,NC,NC,NC,NC,NC,NC,NC,NC,83.0
Eastern Local School District,10918949.72,,,,,,,,,,,,,,,,,,,
Scioto Valley Local,15478674.69,Pike,PO Box 600,"Piketon, OH, 45661-0600",Todd A. Burkitt,C,38.4,250,96,11,87.8,NC,NC,NC,NC,NC,NC,NC,NC,93.4
Waverly City,18004935.43,Pike,1 Tiger Dr,"Waverly, OH, 45690-8704",John E. Dickens,D,12.4,97,12,14,59.3,NC,NC,NC,NC,NC,NC,NC,NC,79.1
Western Local,10162028.43,Pike,PO Box 130,"Latham, OH, 45646-0130",Brock D. Brewster,D,15.3,85,13,NC,27.5,NC,NC,NC,NC,NC,NC,NC,NC,84.8
Aurora City,34148935.38,Portage,102 E Garfield Rd,"Aurora, OH, 44202-8854",Pat R. Ciccantelli,NR,NC,NC,0,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,100.0
Crestwood Local,19843703.85,Portage,11260 Bowen Rd,"Mantua, OH, 44255-9454",David M. Toth,D,20.7,82,17,10,10.3,NC,NC,NC,NC,NC,NC,NC,NC,100.0
Field Local,18126088.47,Portage,2900 State Route 43,"Mogadore, OH, 44260-9715",David O. Heflinger,B,68.1,232,158,NC,9.9,70,65,76,47,52,31,34,15,100.0
James A Garfield Local,14045202.739999998,Portage,10235 State Route 88,"Garrettsville, OH, 44231-9205",Ted A. Lysiak,C,48.7,119,58,NC,64.8,NC,NC,NC,NC,NC,NC,NC,NC,100.0
Rootstown Local,11545359.19,Portage,4140 State Route 44,"Rootstown, OH, 44272-9697",Andrew A. Hawkins,B,49.5,107,53,NC,19.8,NC,NC,NC,NC,NC,NC,NC,NC,100.0
Southeast Local,18947709.68,Portage,8245 Tallmadge Rd,"Ravenna, OH, 44266-8547",Robert C. Dunn,B,52.1,119,62,NC,31.6,NC,NC,NC,NC,NC,NC,NC,NC,90.6
Southeast Local,18947709.68,Wayne,9048 Dover Rd,"Apple Creek, OH, 44606-9408",James J. Ritchie,C,31.1,119,37,NC,37.2,NC,NC,NC,NC,NC,NC,NC,NC,100.0
Streetsboro City,22629898.16,Portage,9000 Kirby Ln,"Streetsboro, OH, 44241-1725",Richard M. Daulbaugh,C,26.6,173,46,NC,31.7,NC,NC,NC,NC,NC,NC,NC,NC,98.3
Waterloo Local,10336352.18,Portage,1464 Industry Rd,"Atwater, OH, 44201-9349",Shawn M. Braman,D,16.5,79,13,15,47.6,NC,NC,NC,NC,NC,NC,NC,NC,91.5
National Trail Local,11256783.51,Preble,6940 Oxford Gettysburg Rd,"New Paris, OH, 45347-9065",Jeff J. Parker,C,32.0,103,33,NC,27.6,NC,NC,NC,NC,NC,NC,NC,NC,100.0
Preble Shawnee Local,14558173.469999999,Preble,124 Bloomfield St,"Camden, OH, 45311-1154",Matt M. Bishop,C,29.8,57,17,22,10.3,NC,NC,NC,NC,NC,NC,NC,NC,92.5
Twin Valley Community Local,8637349.35,Preble,100 Education Dr,"West Alexandria, OH, 45381-1184",Robert O. Fischer,C,36.2,47,17,NC,32.7,NC,NC,NC,NC,NC,NC,NC,NC,100.0
Columbus Grove Local,8464713.46,Putnam,201 W Cross St,"Columbus Grove, OH, 45830-1237",George N. Verhoff,C,37.0,27,10,NC,18.8,NC,NC,NC,NC,NC,NC,NC,NC,100.0
Continental Local,5665191.43,Putnam,5211 State Route 634,"Continental, OH, 45831-9155",Danny F. Kissell,B,69.2,26,18,NC,7.5,NC,NC,NC,NC,NC,NC,NC,NC,100.0
Jennings Local,3754834.3000000003,Putnam,PO Box 98,"Fort Jennings, OH, 45844-0098",Nicholas T. Langhals,NR,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,100.0
Kalida Local,5949715.84,Putnam,PO Box 269,"Kalida, OH, 45853-0269",Karl D. Lammers,C,25.0,12,3,NC,5.9,NC,NC,NC,NC,NC,NC,NC,NC,100.0
Leipsic Local,6277615.3100000005,Putnam,232 Oak St,"Leipsic, OH, 45856-1312",Greg A. Williamson,D,18.8,32,6,NC,17.1,NC,NC,NC,NC,NC,NC,NC,NC,100.0
Miller City-New Cleveland Local,4684804.19,Putnam,PO Box 38,"Miller City, OH, 45864-0038",Kerry D. Johnson,NR,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,100.0
Ottawa-Glandorf Local,14524137.46,Putnam,630 Glendale Ave,"Ottawa, OH, 45875-1162",Donald T. Horstman,C,37.1,89,33,NC,22.8,NC,NC,NC,NC,NC,NC,NC,NC,99.0
Ottoville Local,4992721.4399999995,Putnam,PO Box 248,"Ottoville, OH, 45876-0248",Scott J. Mangas,NR,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,100.0
Pandora-Gilboa Local,6319051.1,Putnam,410 Rocket Ridge,"Pandora, OH, 45877-0389",R. Todd T. Schmutz,NR,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,100.0
Clear Fork Valley Local,16341586.399999999,Richland,92 Hines Ave,"Bellville, OH, 44813-1232",Janice J. Wyckoff,C,28.8,125,36,11,35.8,NC,NC,NC,NC,NC,NC,NC,NC,100.0
Crestview Local,11166043.73,Columbiana,44100 Crestview Rd Ste A,"Columbiana, OH, 44408-9660",Matthew T. Manley,B,50.5,109,55,NC,44.7,NC,NC,NC,NC,NC,NC,NC,NC,93.0
Crestview Local,11166043.73,Richland,1575 State Route 96,"Ashland, OH, 44805-9262",Larry R. Dunlap,C,36.0,125,45,NC,54.4,NC,NC,NC,NC,NC,NC,NC,NC,97.1
Crestview Local,11166043.73,Van Wert,531 E Tully St,"Convoy, OH, 45832-8864",Michael Y. Estes,C,35.0,60,21,NC,36.5,NC,NC,NC,NC,NC,NC,NC,NC,100.0
Lexington Local,22118581.52,Richland,103 Clever Ln,"Lexington, OH, 44904-1209",James M. Ziegelhofer,B,50.0,122,61,NC,17.4,NC,NC,NC,NC,NC,NC,NC,NC,100.0
Lucas Local,5444186.63,Richland,84 Lucas North Rd,"Lucas, OH, 44843-9532",Bradley A. Herman,C,31.8,22,7,NC,37.2,NC,NC,NC,NC,NC,NC,NC,NC,89.3
